Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts, Sales,COGS,Profit,Date,Month Number,Month Name,Year
Government,Germany,Carretera,None,1513,$3,$350.,"$529,550.",0,"$529,550.","$393,380.","$136,170.",1/12/14,12,December,2014
Government,Germany,Paseo,None,1006,$10,$350.,"$352,100.",0,"$352,100.","$261,560.","$90,540.",1/6/14,6,June,2014
Government,Canada,Paseo,None,1725,$10,$350.,"$603,750.",0,"$603,750.","$448,500.","$155,250.",1/11/13,11,November,2013
Government,Germany,Paseo,None,1513,$10,$350.,"$529,550.",0,"$529,550.","$393,380.","$136,170.",1/12/14,12,December,2014
Government,Germany,Velo,None,1006,$120,$350.,"$352,100.",0,"$352,100.","$261,560.","$90,540.",1/6/14,6,June,2014
Government,France,VTT,None,1527,$250,$350.,"$534,450.",0,"$534,450.","$397,020.","$137,430.",1/9/13,9,September,2013
Government,France,Amarilla,None,2750,$260,$350.,"$962,500.",0,"$962,500.","$715,000.","$247,500.",1/2/14,2,February,2014
Government,Mexico,Carretera,Low,1210,$3,$350.,"$423,500.",4235,"$419,265.","$314,600.","$104,665.",1/3/14,3,March,2014
Government,Mexico,Carretera,Low,1397,$3,$350.,"$488,950.",4889.5,"$484,060.5","$363,220.","$120,840.5",1/10/14,10,October,2014
Government,France,Carretera,Low,2155,$3,$350.,"$754,250.",7542.5,"$746,707.5","$560,300.","$186,407.5",1/12/14,12,December,2014
Government,France,Paseo,Low,2155,$10,$350.,"$754,250.",7542.5,"$746,707.5","$560,300.","$186,407.5",1/12/14,12,December,2014
Government,Canada,VTT,Low,943.5,$250,$350.,"$330,225.",3302.25,"$326,922.75","$245,310.","$81,612.75",1/4/14,4,April,2014
Government,Mexico,VTT,Low,1397,$250,$350.,"$488,950.",4889.5,"$484,060.5","$363,220.","$120,840.5",1/10/14,10,October,2014
Government,Canada,Carretera,Low,2852,$3,$350.,"$998,200.",19964,"$978,236.","$741,520.","$236,716.",1/12/14,12,December,2014
Government,Canada,Paseo,Low,2852,$10,$350.,"$998,200.",19964,"$978,236.","$741,520.","$236,716.",1/12/14,12,December,2014
Government,Germany,Velo,Low,2966,$120,$350.,"$1,038,100.",20762,"$1,017,338.","$771,160.","$246,178.",1/10/13,10,October,2013
Government,Germany,Velo,Low,2877,$120,$350.,"$1,006,950.",20139,"$986,811.","$748,020.","$238,791.",1/10/14,10,October,2014
Government,Germany,VTT,Low,2877,$250,$350.,"$1,006,950.",20139,"$986,811.","$748,020.","$238,791.",1/10/14,10,October,2014
Government,USA,VTT,Low,266,$250,$350.,"$93,100.",1862,"$91,238.","$69,160.","$22,078.",1/12/13,12,December,2013
Government,Mexico,VTT,Low,1940,$250,$350.,"$679,000.",13580,"$665,420.","$504,400.","$161,020.",1/12/13,12,December,2013
Government,Germany,Amarilla,Low,2966,$260,$350.,"$1,038,100.",20762,"$1,017,338.","$771,160.","$246,178.",1/10/13,10,October,2013
Government,Germany,Montana,Low,1797,$5,$350.,"$628,950.",18868.5,"$610,081.5","$467,220.","$142,861.5",1/9/13,9,September,2013
Government,Mexico,VTT,Low,1642,$250,$350.,"$574,700.",17241,"$557,459.","$426,920.","$130,539.",1/8/14,8,August,2014
Government,USA,Carretera,Low,274,$3,$350.,"$95,900.",3836,"$92,064.","$71,240.","$20,824.",1/12/14,12,December,2014
Government,USA,Paseo,Low,3450,$10,$350.,"$1,207,500.",48300,"$1,159,200.","$897,000.","$262,200.",1/7/14,7,July,2014
Government,USA,Paseo,Low,274,$10,$350.,"$95,900.",3836,"$92,064.","$71,240.","$20,824.",1/12/14,12,December,2014
Government,France,Velo,Low,2177,$120,$350.,"$761,950.",30478,"$731,472.","$566,020.","$165,452.",1/10/14,10,October,2014
Government,USA,VTT,Low,349,$250,$350.,"$122,150.",4886,"$117,264.","$90,740.","$26,524.",1/9/13,9,September,2013
Government,France,VTT,Low,2177,$250,$350.,"$761,950.",30478,"$731,472.","$566,020.","$165,452.",1/10/14,10,October,2014
Government,Mexico,Amarilla,Low,1865,$260,$350.,"$652,750.",26110,"$626,640.","$484,900.","$141,740.",1/2/14,2,February,2014
Government,Germany,Amarilla,Low,1907,$260,$350.,"$667,450.",26698,"$640,752.","$495,820.","$144,932.",1/9/14,9,September,2014
Government,Canada,Amarilla,Low,1778,$260,$350.,"$622,300.",24892,"$597,408.","$462,280.","$135,128.",1/12/13,12,December,2013
Government,France,Montana,Medium,1384.5,$5,$350.,"$484,575.",24228.75,"$460,346.25","$359,970.","$100,376.25",1/1/14,1,January,2014
Government,Mexico,Montana,Medium,720,$5,$350.,"$252,000.",12600,"$239,400.","$187,200.","$52,200.",1/9/13,9,September,2013
Government,USA,Paseo,Medium,602,$10,$350.,"$210,700.",10535,"$200,165.","$156,520.","$43,645.",1/6/14,6,June,2014
Government,Canada,Paseo,Medium,1228,$10,$350.,"$429,800.",21490,"$408,310.","$319,280.","$89,030.",1/10/13,10,October,2013
Government,USA,Velo,Medium,602,$120,$350.,"$210,700.",10535,"$200,165.","$156,520.","$43,645.",1/6/14,6,June,2014
Government,Germany,Amarilla,Medium,1350,$260,$350.,"$472,500.",23625,"$448,875.","$351,000.","$97,875.",1/2/14,2,February,2014
Government,Canada,Amarilla,Medium,552,$260,$350.,"$193,200.",9660,"$183,540.","$143,520.","$40,020.",1/8/14,8,August,2014
Government,Canada,Amarilla,Medium,1228,$260,$350.,"$429,800.",21490,"$408,310.","$319,280.","$89,030.",1/10/13,10,October,2013
Government,Mexico,Montana,Medium,980,$5,$350.,"$343,000.",20580,"$322,420.","$254,800.","$67,620.",1/4/14,4,April,2014
Government,Germany,Montana,Medium,1460,$5,$350.,"$511,000.",30660,"$480,340.","$379,600.","$100,740.",1/5/14,5,May,2014
Government,France,Paseo,Medium,1496,$10,$350.,"$523,600.",31416,"$492,184.","$388,960.","$103,224.",1/6/14,6,June,2014
Government,USA,Paseo,Medium,727,$10,$350.,"$254,450.",15267,"$239,183.","$189,020.","$50,163.",1/10/13,10,October,2013
Government,France,Velo,Medium,1496,$120,$350.,"$523,600.",31416,"$492,184.","$388,960.","$103,224.",1/6/14,6,June,2014
Government,France,Velo,Medium,2076,$120,$350.,"$726,600.",43596,"$683,004.","$539,760.","$143,244.",1/10/13,10,October,2013
Government,Mexico,Amarilla,Medium,1679,$260,$350.,"$587,650.",35259,"$552,391.","$436,540.","$115,851.",1/9/14,9,September,2014
Government,USA,Amarilla,Medium,727,$260,$350.,"$254,450.",15267,"$239,183.","$189,020.","$50,163.",1/10/13,10,October,2013
Government,France,Amarilla,Medium,2076,$260,$350.,"$726,600.",43596,"$683,004.","$539,760.","$143,244.",1/10/13,10,October,2013
Government,USA,Carretera,Medium,1761,$3,$350.,"$616,350.",43144.5,"$573,205.5","$457,860.","$115,345.5",1/3/14,3,March,2014
Government,France,Amarilla,Medium,2876,$260,$350.,"$1,006,600.",70462,"$936,138.","$747,760.","$188,378.",1/9/14,9,September,2014
Government,Mexico,Carretera,Medium,1362,$3,$350.,"$476,700.",38136,"$438,564.","$354,120.","$84,444.",1/12/14,12,December,2014
Government,Germany,Paseo,Medium,2146,$10,$350.,"$751,100.",60088,"$691,012.","$557,960.","$133,052.",1/11/13,11,November,2013
Government,Mexico,Paseo,Medium,1362,$10,$350.,"$476,700.",38136,"$438,564.","$354,120.","$84,444.",1/12/14,12,December,2014
Government,France,VTT,Medium,574.5,$250,$350.,"$201,075.",16086,"$184,989.","$149,370.","$35,619.",1/4/14,4,April,2014
Government,France,VTT,Medium,381,$250,$350.,"$133,350.",10668,"$122,682.","$99,060.","$23,622.",1/8/14,8,August,2014
Government,Germany,VTT,Medium,422,$250,$350.,"$147,700.",11816,"$135,884.","$109,720.","$26,164.",1/8/14,8,August,2014
Government,France,Montana,Medium,1666,$5,$350.,"$583,100.",52479,"$530,621.","$433,160.","$97,461.",1/5/14,5,May,2014
Government,Mexico,Paseo,Medium,2417,$10,$350.,"$845,950.",76135.5,"$769,814.5","$628,420.","$141,394.5",1/1/14,1,January,2014
Government,Germany,Velo,Medium,1307,$120,$350.,"$457,450.",41170.5,"$416,279.5","$339,820.","$76,459.5",1/7/14,7,July,2014
Government,Canada,Velo,Medium,1269,$120,$350.,"$444,150.",39973.5,"$404,176.5","$329,940.","$74,236.5",1/10/14,10,October,2014
Government,USA,VTT,Medium,1351.5,$250,$350.,"$473,025.",42572.25,"$430,452.75","$351,390.","$79,062.75",1/4/14,4,April,2014
Government,USA,Amarilla,Medium,2071,$260,$350.,"$724,850.",65236.5,"$659,613.5","$538,460.","$121,153.5",1/9/14,9,September,2014
Government,Canada,Amarilla,Medium,1269,$260,$350.,"$444,150.",39973.5,"$404,176.5","$329,940.","$74,236.5",1/10/14,10,October,2014
Government,USA,Montana,High,2313,$5,$350.,"$809,550.",80955,"$728,595.","$601,380.","$127,215.",1/5/14,5,May,2014
Government,France,Velo,High,639,$120,$350.,"$223,650.",22365,"$201,285.","$166,140.","$35,145.",1/7/14,7,July,2014
Government,USA,VTT,High,2807,$250,$350.,"$982,450.",98245,"$884,205.","$729,820.","$154,385.",1/8/14,8,August,2014
Government,Germany,VTT,High,1870,$250,$350.,"$654,500.",65450,"$589,050.","$486,200.","$102,850.",1/12/13,12,December,2013
Government,Canada,Amarilla,High,2240,$260,$350.,"$784,000.",78400,"$705,600.","$582,400.","$123,200.",1/2/14,2,February,2014
Government,Canada,Amarilla,High,707,$260,$350.,"$247,450.",24745,"$222,705.","$183,820.","$38,885.",1/9/14,9,September,2014
Government,Germany,Carretera,High,792,$3,$350.,"$277,200.",30492,"$246,708.","$205,920.","$40,788.",1/3/14,3,March,2014
Government,Germany,Montana,High,766,$5,$350.,"$268,100.",29491,"$238,609.","$199,160.","$39,449.",1/1/14,1,January,2014
Government,Canada,Paseo,High,2104.5,$10,$350.,"$736,575.",81023.25,"$655,551.75","$547,170.","$108,381.75",1/7/14,7,July,2014
Government,Mexico,Velo,High,344,$120,$350.,"$120,400.",13244,"$107,156.","$89,440.","$17,716.",1/10/13,10,October,2013
Government,Mexico,Amarilla,High,344,$260,$350.,"$120,400.",13244,"$107,156.","$89,440.","$17,716.",1/10/13,10,October,2013
Government,Mexico,Carretera,High,886,$3,$350.,"$310,100.",37212,"$272,888.","$230,360.","$42,528.",1/6/14,6,June,2014
Government,Mexico,Paseo,High,886,$10,$350.,"$310,100.",37212,"$272,888.","$230,360.","$42,528.",1/6/14,6,June,2014
Government,France,Paseo,High,1594,$10,$350.,"$557,900.",66948,"$490,952.","$414,440.","$76,512.",1/11/14,11,November,2014
Government,Mexico,Paseo,High,1197,$10,$350.,"$418,950.",50274,"$368,676.","$311,220.","$57,456.",1/11/14,11,November,2014
Government,Mexico,Velo,High,1395,$120,$350.,"$488,250.",58590,"$429,660.","$362,700.","$66,960.",1/7/14,7,July,2014
Government,USA,Velo,High,986,$120,$350.,"$345,100.",41412,"$303,688.","$256,360.","$47,328.",1/10/14,10,October,2014
Government,Canada,VTT,High,623,$250,$350.,"$218,050.",26166,"$191,884.","$161,980.","$29,904.",1/9/13,9,September,2013
Government,USA,VTT,High,986,$250,$350.,"$345,100.",41412,"$303,688.","$256,360.","$47,328.",1/10/14,10,October,2014
Government,USA,Amarilla,High,270,$260,$350.,"$94,500.",11340,"$83,160.","$70,200.","$12,960.",1/2/14,2,February,2014
Government,Canada,Carretera,High,923,$3,$350.,"$323,050.",41996.5,"$281,053.5","$239,980.","$41,073.5",1/3/14,3,March,2014
Government,France,Carretera,High,1790,$3,$350.,"$626,500.",81445,"$545,055.","$465,400.","$79,655.",1/3/14,3,March,2014
Government,USA,Montana,High,982.5,$5,$350.,"$343,875.",44703.75,"$299,171.25","$255,450.","$43,721.25",1/1/14,1,January,2014
Government,Canada,Paseo,High,2632,$10,$350.,"$921,200.",119756,"$801,444.","$684,320.","$117,124.",1/6/14,6,June,2014
Government,Germany,Paseo,High,357,$10,$350.,"$124,950.",16243.5,"$108,706.5","$92,820.","$15,886.5",1/11/14,11,November,2014
Government,Canada,Velo,High,2632,$120,$350.,"$921,200.",119756,"$801,444.","$684,320.","$117,124.",1/6/14,6,June,2014
Government,Canada,Montana,High,2227.5,$5,$350.,"$779,625.",109147.5,"$670,477.5","$579,150.","$91,327.5",1/1/14,1,January,2014
Government,Germany,Montana,High,1199,$5,$350.,"$419,650.",58751,"$360,899.","$311,740.","$49,159.",1/4/14,4,April,2014
Government,Canada,Montana,High,200,$5,$350.,"$70,000.",9800,"$60,200.","$52,000.","$8,200.",1/5/14,5,May,2014
Government,Canada,Paseo,High,700,$10,$350.,"$245,000.",34300,"$210,700.","$182,000.","$28,700.",1/11/14,11,November,2014
Government,USA,Paseo,High,1177,$10,$350.,"$411,950.",57673,"$354,277.","$306,020.","$48,257.",1/11/14,11,November,2014
Government,France,Paseo,High,1922,$10,$350.,"$672,700.",94178,"$578,522.","$499,720.","$78,802.",1/11/13,11,November,2013
Government,France,VTT,High,1281,$250,$350.,"$448,350.",62769,"$385,581.","$333,060.","$52,521.",1/12/13,12,December,2013
Government,Mexico,Paseo,High,2851,$10,$350.,"$997,850.",149677.5,"$848,172.5","$741,260.","$106,912.5",1/5/14,5,May,2014
Government,USA,Paseo,High,2007,$10,$350.,"$702,450.",105367.5,"$597,082.5","$521,820.","$75,262.5",1/11/13,11,November,2013
Government,Mexico,Paseo,High,2151,$10,$350.,"$752,850.",112927.5,"$639,922.5","$559,260.","$80,662.5",1/11/13,11,November,2013
Government,Canada,Carretera,None,1618.5,$3,$20.,"$32,370.",0,"$32,370.","$16,185.","$16,185.",1/1/14,1,January,2014
Government,Germany,Carretera,None,1321,$3,$20.,"$26,420.",0,"$26,420.","$13,210.","$13,210.",1/1/14,1,January,2014
Government,France,Montana,None,1899,$5,$20.,"$37,980.",0,"$37,980.","$18,990.","$18,990.",1/6/14,6,June,2014
Government,Canada,Paseo,None,292,$10,$20.,"$5,840.",0,"$5,840.","$2,920.","$2,920.",1/2/14,2,February,2014
Government,Canada,Paseo,None,1817,$10,$20.,"$36,340.",0,"$36,340.","$18,170.","$18,170.",1/12/14,12,December,2014
Government,Canada,VTT,None,1817,$250,$20.,"$36,340.",0,"$36,340.","$18,170.","$18,170.",1/12/14,12,December,2014
Government,France,Amarilla,None,1899,$260,$20.,"$37,980.",0,"$37,980.","$18,990.","$18,990.",1/6/14,6,June,2014
Government,France,Montana,Low,1375.5,$5,$20.,"$27,510.",275.1,"$27,234.9","$13,755.","$13,479.9",1/7/14,7,July,2014
Government,France,Velo,Low,3864,$120,$20.,"$77,280.",772.8,"$76,507.2","$38,640.","$37,867.2",1/4/14,4,April,2014
Government,USA,Montana,Low,1566,$5,$20.,"$31,320.",626.4,"$30,693.6","$15,660.","$15,033.6",1/10/14,10,October,2014
Government,USA,Velo,Low,1566,$120,$20.,"$31,320.",626.4,"$30,693.6","$15,660.","$15,033.6",1/10/14,10,October,2014
Government,Mexico,Velo,Low,544,$120,$20.,"$10,880.",217.6,"$10,662.4","$5,440.","$5,222.4",1/12/13,12,December,2013
Government,USA,Amarilla,Low,1236,$260,$20.,"$24,720.",494.4,"$24,225.6","$12,360.","$11,865.6",1/11/14,11,November,2014
Government,France,Amarilla,Low,941,$260,$20.,"$18,820.",376.4,"$18,443.6","$9,410.","$9,033.6",1/11/14,11,November,2014
Government,Germany,Carretera,Low,2580,$3,$20.,"$51,600.",1548,"$50,052.","$25,800.","$24,252.",1/4/14,4,April,2014
Government,Canada,Carretera,Low,831,$3,$20.,"$16,620.",498.6,"$16,121.4","$8,310.","$7,811.4",1/5/14,5,May,2014
Government,Canada,Velo,Low,3850.5,$120,$20.,"$77,010.",2310.3,"$74,699.7","$38,505.","$36,194.7",1/4/14,4,April,2014
Government,USA,Velo,Low,736,$120,$20.,"$14,720.",588.8,"$14,131.2","$7,360.","$6,771.2",1/9/13,9,September,2013
Government,Canada,Paseo,Low,2074,$10,$20.,"$41,480.",1659.2,"$39,820.8","$20,740.","$19,080.8",1/9/14,9,September,2014
Government,USA,Paseo,Low,1056,$10,$20.,"$21,120.",844.8,"$20,275.2","$10,560.","$9,715.2",1/9/14,9,September,2014
Government,Canada,Velo,Low,2646,$120,$20.,"$52,920.",2116.8,"$50,803.2","$26,460.","$24,343.2",1/9/13,9,September,2013
Government,France,Carretera,Medium,1563,$3,$20.,"$31,260.",1563,"$29,697.","$15,630.","$14,067.",1/5/14,5,May,2014
Government,France,Paseo,Medium,1303,$10,$20.,"$26,060.",1303,"$24,757.","$13,030.","$11,727.",1/2/14,2,February,2014
Government,Canada,Paseo,Medium,1389,$10,$20.,"$27,780.",1389,"$26,391.","$13,890.","$12,501.",1/10/13,10,October,2013
Government,Canada,Paseo,Medium,1802,$10,$20.,"$36,040.",1802,"$34,238.","$18,020.","$16,218.",1/12/13,12,December,2013
Government,USA,Paseo,Medium,2663,$10,$20.,"$53,260.",2663,"$50,597.","$26,630.","$23,967.",1/12/14,12,December,2014
Government,USA,Velo,Medium,2832,$120,$20.,"$56,640.",2832,"$53,808.","$28,320.","$25,488.",1/8/14,8,August,2014
Government,France,Velo,Medium,1579,$120,$20.,"$31,580.",1579,"$30,001.","$15,790.","$14,211.",1/8/14,8,August,2014
Government,France,Velo,Medium,1033,$120,$20.,"$20,660.",1033,"$19,627.","$10,330.","$9,297.",1/12/13,12,December,2013
Government,Canada,VTT,Medium,1389,$250,$20.,"$27,780.",1389,"$26,391.","$13,890.","$12,501.",1/10/13,10,October,2013
Government,USA,VTT,Medium,1265,$250,$20.,"$25,300.",1265,"$24,035.","$12,650.","$11,385.",1/11/13,11,November,2013
Government,Germany,VTT,Medium,2297,$250,$20.,"$45,940.",2297,"$43,643.","$22,970.","$20,673.",1/11/13,11,November,2013
Government,USA,VTT,Medium,2663,$250,$20.,"$53,260.",2663,"$50,597.","$26,630.","$23,967.",1/12/14,12,December,2014
Government,USA,Carretera,Medium,1117.5,$3,$20.,"$22,350.",1341,"$21,009.","$11,175.","$9,834.",1/1/14,1,January,2014
Government,Mexico,VTT,Medium,1123,$250,$20.,"$22,460.",1347.6,"$21,112.4","$11,230.","$9,882.4",1/11/13,11,November,2013
Government,France,Montana,Medium,1757,$5,$20.,"$35,140.",2108.4,"$33,031.6","$17,570.","$15,461.6",1/10/13,10,October,2013
Government,France,Paseo,Medium,1757,$10,$20.,"$35,140.",2108.4,"$33,031.6","$17,570.","$15,461.6",1/10/13,10,October,2013
Government,Germany,Velo,Medium,1001,$120,$20.,"$20,020.",1201.2,"$18,818.8","$10,010.","$8,808.8",1/8/14,8,August,2014
Government,Mexico,Carretera,Medium,1834,$3,$20.,"$36,680.",2567.6,"$34,112.4","$18,340.","$15,772.4",1/9/13,9,September,2013
Government,France,Montana,Medium,1976,$5,$20.,"$39,520.",2766.4,"$36,753.6","$19,760.","$16,993.6",1/10/14,10,October,2014
Government,France,Paseo,Medium,1535,$10,$20.,"$30,700.",2149,"$28,551.","$15,350.","$13,201.",1/9/14,9,September,2014
Government,Mexico,Velo,Medium,609,$120,$20.,"$12,180.",852.6,"$11,327.4","$6,090.","$5,237.4",1/8/14,8,August,2014
Government,France,Velo,Medium,1976,$120,$20.,"$39,520.",2766.4,"$36,753.6","$19,760.","$16,993.6",1/10/14,10,October,2014
Government,USA,Velo,Medium,1421,$120,$20.,"$28,420.",1989.4,"$26,430.6","$14,210.","$12,220.6",1/12/13,12,December,2013
Government,Germany,Velo,Medium,588,$120,$20.,"$11,760.",823.2,"$10,936.8","$5,880.","$5,056.8",1/12/13,12,December,2013
Government,Canada,Amarilla,Medium,1118,$260,$20.,"$22,360.",1565.2,"$20,794.8","$11,180.","$9,614.8",1/11/14,11,November,2014
Government,USA,Montana,Medium,1282,$5,$20.,"$25,640.",2051.2,"$23,588.8","$12,820.","$10,768.8",1/6/14,6,June,2014
Government,USA,Amarilla,Medium,1282,$260,$20.,"$25,640.",2051.2,"$23,588.8","$12,820.","$10,768.8",1/6/14,6,June,2014
Government,Canada,Montana,Medium,708,$5,$20.,"$14,160.",1132.8,"$13,027.2","$7,080.","$5,947.2",1/6/14,6,June,2014
Government,Germany,Montana,Medium,645,$5,$20.,"$12,900.",1032,"$11,868.","$6,450.","$5,418.",1/7/14,7,July,2014
Government,Germany,Paseo,Medium,1366,$10,$20.,"$27,320.",2185.6,"$25,134.4","$13,660.","$11,474.4",1/6/14,6,June,2014
Government,Germany,Paseo,Medium,1934,$10,$20.,"$38,680.",3094.4,"$35,585.6","$19,340.","$16,245.6",1/9/14,9,September,2014
Government,Mexico,Paseo,Medium,2993,$10,$20.,"$59,860.",4788.8,"$55,071.2","$29,930.","$25,141.2",1/9/14,9,September,2014
Government,Canada,Amarilla,Medium,708,$260,$20.,"$14,160.",1132.8,"$13,027.2","$7,080.","$5,947.2",1/6/14,6,June,2014
Government,Germany,Amarilla,Medium,1366,$260,$20.,"$27,320.",2185.6,"$25,134.4","$13,660.","$11,474.4",1/6/14,6,June,2014
Government,Germany,Amarilla,Medium,1520,$260,$20.,"$30,400.",2432,"$27,968.","$15,200.","$12,768.",1/11/14,11,November,2014
Government,USA,VTT,Medium,436.5,$250,$20.,"$8,730.",698.4,"$8,031.6","$4,365.","$3,666.6",1/7/14,7,July,2014
Government,Mexico,Amarilla,Medium,1694,$260,$20.,"$33,880.",3049.2,"$30,830.8","$16,940.","$13,890.8",1/11/14,11,November,2014
Government,Germany,Carretera,Medium,663,$3,$20.,"$13,260.",1193.4,"$12,066.6","$6,630.","$5,436.6",1/5/14,5,May,2014
Government,USA,Paseo,Medium,973,$10,$20.,"$19,460.",1751.4,"$17,708.6","$9,730.","$7,978.6",1/3/14,3,March,2014
Government,Mexico,Paseo,Medium,1038,$10,$20.,"$20,760.",1868.4,"$18,891.6","$10,380.","$8,511.6",1/6/14,6,June,2014
Government,France,VTT,Medium,2682,$250,$20.,"$53,640.",4827.6,"$48,812.4","$26,820.","$21,992.4",1/11/13,11,November,2013
Government,Mexico,Amarilla,Medium,1038,$260,$20.,"$20,760.",1868.4,"$18,891.6","$10,380.","$8,511.6",1/6/14,6,June,2014
Government,France,Paseo,High,1954,$10,$20.,"$39,080.",3908,"$35,172.","$19,540.","$15,632.",1/3/14,3,March,2014
Government,Germany,Paseo,High,241,$10,$20.,"$4,820.",482,"$4,338.","$2,410.","$1,928.",1/10/14,10,October,2014
Government,Germany,Velo,High,241,$120,$20.,"$4,820.",482,"$4,338.","$2,410.","$1,928.",1/10/14,10,October,2014
Government,Mexico,Amarilla,High,2039,$260,$20.,"$40,780.",4078,"$36,702.","$20,390.","$16,312.",1/5/14,5,May,2014
Government,Germany,Montana,High,2992,$5,$20.,"$59,840.",6582.4,"$53,257.6","$29,920.","$23,337.6",1/10/13,10,October,2013
Government,Mexico,Paseo,High,1122,$10,$20.,"$22,440.",2468.4,"$19,971.6","$11,220.","$8,751.6",1/3/14,3,March,2014
Government,Canada,Paseo,High,2394,$10,$20.,"$47,880.",5266.8,"$42,613.2","$23,940.","$18,673.2",1/8/14,8,August,2014
Government,Germany,Paseo,High,2992,$10,$20.,"$59,840.",6582.4,"$53,257.6","$29,920.","$23,337.6",1/10/13,10,October,2013
Government,France,Velo,High,2805,$120,$20.,"$56,100.",6171,"$49,929.","$28,050.","$21,879.",1/9/13,9,September,2013
Government,Canada,VTT,High,2935,$250,$20.,"$58,700.",6457,"$52,243.","$29,350.","$22,893.",1/11/13,11,November,2013
Government,Mexico,Amarilla,High,2629,$260,$20.,"$52,580.",5783.8,"$46,796.2","$26,290.","$20,506.2",1/1/14,1,January,2014
